==========================================
Lines of Code Report (Diff-based)
==========================================
Author: Chun Wee
Since: 2026-03-16
Generated: Sun Apr  5 01:26:40 +08 2026
==========================================

==========================================
ACTUAL CODE CHANGES PER FILE (NO BLANKS/COMMENTS)
==========================================
Tracked extensions: .cpp .hpp .h .c

File                                                                        Added    Deleted        Net
TheStove/EngineCore/LevelEditorPanelConfig.cpp                                  7          7          0
TheStove/EngineCore/LevelEditorPanelFonts.cpp                                  33         16         17
TheStove/EngineCore/LevelEditorPanelFonts.hpp                                   4          3          1
TheStove/EngineCore/LevelEditorPanelLevel.cpp                                1271       1125        146
TheStove/EngineCore/LevelEditorPanelPrefabs.cpp                                69         47         22
TheStove/EngineCore/LevelEditorPickDrag.cpp                                    20          9         11
TheStove/EngineCore/LevelEditorPrefabLinks.cpp                                  1          1          0
TheStove/EngineCore/LevelEditorPrefabLinks.hpp                                  4          4          0
TheStove/EngineCore/LevelSerializer.cpp                                        20         15          5
TheStove/EngineCore/LevelSerializer.hpp                                         4          3          1
TheStove/EngineCore/Logger.hpp                                                 12          1         11
TheStove/EngineCore/LogicManager.hpp                                           79          0         79
TheStove/EngineCore/Math.cpp                                                   29         23          6
TheStove/EngineCore/Math.hpp                                                   21         20          1
TheStove/EngineCore/Message.hpp                                                17         31        -14
TheStove/EngineCore/MessageBus.hpp                                              7          6          1
TheStove/EngineCore/MovementManager.cpp                                        10         10          0
TheStove/EngineCore/MovementManager.hpp                                         9          9          0
TheStove/EngineCore/NpcSystem.cpp                                               3          3          0
TheStove/EngineCore/NpcSystem.hpp                                               5          5          0
TheStove/EngineCore/Physics.cpp                                                 2          2          0
TheStove/EngineCore/Physics.hpp                                                 4          4          0
TheStove/EngineCore/PhysicsManager.cpp                                          6          6          0
TheStove/EngineCore/PhysicsManager.hpp                                         11         11          0
TheStove/EngineCore/PlayerController.cpp                                        9          9          0
TheStove/EngineCore/PlayerController.hpp                                        8          8          0
TheStove/EngineCore/ReplayManager.cpp                                           6          5          1
TheStove/EngineCore/ReplayManager.hpp                                           1          1          0
TheStove/EngineCore/RigidBody2D.cpp                                             6          6          0
TheStove/EngineCore/RigidBody2D.hpp                                             5          6         -1
TheStove/EngineCore/RuntimeLevel.cpp                                           12         12          0
TheStove/EngineCore/RuntimeLevel.hpp                                            4          3          1
TheStove/EngineCore/RuntimeLevelPipeline.cpp                                    5          5          0
TheStove/EngineCore/RuntimeTextData.hpp                                         1          1          0
TheStove/EngineCore/SpatialGrid.cpp                                             2          3         -1
TheStove/EngineCore/SpatialGrid.hpp                                             3          3          0
TheStove/EngineCore/System.hpp                                                  9          8          1
TheStove/EngineCore/TestLevel.cpp                                               1         15        -14
TheStove/EngineCore/TestLevel.hpp                                               0          7         -7
TheStove/EngineCore/TestLevel2.cpp                                              1         16        -15
TheStove/EngineCore/TestLevel2.hpp                                              0          7         -7
TheStove/EngineCore/TileMap.cpp                                                 1         52        -51
TheStove/EngineCore/TileMap.hpp                                                 1         24        -23
TheStove/EngineCore/Transform.cpp                                               8          6          2
TheStove/EngineCore/Transform.hpp                                              15         18         -3
TheStove/EngineGraphics/AnimationManager.cpp                                    8          6          2
TheStove/EngineGraphics/AnimationManager.hpp                                    6          4          2
TheStove/EngineGraphics/DebugRenderer.cpp                                       1          1          0
TheStove/EngineGraphics/DebugRenderer.hpp                                       2          2          0
TheStove/EngineGraphics/EntityManager.cpp                                       4          3          1
TheStove/EngineGraphics/EntityManager.hpp                                       4          3          1
TheStove/EngineGraphics/GameObject.cpp                                          4          4          0
TheStove/EngineGraphics/GameObject.hpp                                          7          7          0
TheStove/EngineGraphics/GraphicsEngine.cpp                                     15         14          1
TheStove/EngineGraphics/GraphicsEngine.hpp                                      8          7          1
TheStove/EngineGraphics/GraphicsEngineEffects.cpp                               4          4          0
TheStove/EngineGraphics/GraphicsEnginePresentation.cpp                          7          4          3
TheStove/EngineGraphics/GraphicsEngineRender.cpp                               53         33         20
TheStove/EngineGraphics/GraphicsEngineViewport.cpp                              3          3          0
TheStove/EngineGraphics/Layer.hpp                                               4          6         -2
TheStove/EngineGraphics/Mesh.cpp                                               13          9          4
TheStove/EngineGraphics/Mesh.hpp                                                7          6          1
TheStove/EngineGraphics/MeshLoader.cpp                                         18         17          1
TheStove/EngineGraphics/MeshLoader.hpp                                          1          1          0
TheStove/EngineGraphics/ParticleSystem.cpp                                      5          5          0
TheStove/EngineGraphics/Renderer.cpp                                            3          2          1
TheStove/EngineGraphics/ResourceManager.cpp                                    64         22         42
TheStove/EngineGraphics/ResourceManager.hpp                                     5          5          0
TheStove/EngineGraphics/SceneCollisionLayout.cpp                                9          8          1
TheStove/EngineGraphics/SceneDebug.cpp                                          7          7          0
TheStove/EngineGraphics/SceneManager.cpp                                        9          9          0
TheStove/EngineGraphics/SceneManager.hpp                                      100         20         80
TheStove/EngineGraphics/SceneManagerAudio.cpp                                   8          7          1
TheStove/EngineGraphics/SceneManagerCutscene.cpp                              221         18        203
TheStove/EngineGraphics/SceneManagerEffects.cpp                               118         49         69
TheStove/EngineGraphics/SceneManagerLoading.cpp                                33         17         16
TheStove/EngineGraphics/SceneManagerObjects.cpp                                10          7          3
